//This are the logs ## 📂 Project Data: server_logs.txt
The `server_logs.txt` file is the heart of this simulation. It represents the raw data that a SOC Analyst would monitor in a real enterprise environment.

* **How it's created:** This file is dynamically populated by running `python log_generator.py`.
2026-02-10 21:38:06 INFO sshd[2744]: Accepted password for user1 from 10.0.0.2 port 47905 ssh2
2026-02-10 21:38:08 INFO sshd[8202]: Accepted password for admin from 192.168.1.5 port 16681 ssh2
2026-02-10 21:38:10 INFO sshd[3716]: Accepted password for admin from 10.0.0.2 port 44697 ssh2
2026-02-10 21:38:12 INFO sshd[7885]: Accepted password for root from 192.168.1.5 port 33414 ssh2
2026-02-10 21:38:14 INFO sshd[3163]: Accepted password for user1 from 45.33.22.11 port 32483 ssh2
2026-02-10 21:38:16 Failed password for invalid user user1 from 192.168.1.5 port 53293 ssh2
2026-02-10 21:38:18 INFO sshd[4966]: Accepted password for admin from 45.33.22.11 port 7093 ssh2
2026-02-10 21:38:20 INFO sshd[2583]: Accepted password for admin from 192.168.1.5 port 4978 ssh2
2026-02-10 21:38:22 Failed password for invalid user admin from 203.0.113.5 port 20067 ssh2
2026-02-10 21:38:24 INFO sshd[3030]: Accepted password for user1 from 10.0.0.2 port 10664 ssh2
2026-02-10 21:38:26 INFO sshd[7276]: Accepted password for test from 192.168.1.5 port 62272 ssh2
2026-02-10 21:38:28 Failed password for invalid user root from 203.0.113.5 port 22047 ssh2
2026-02-10 21:38:30 Failed password for invalid user test from 10.0.0.2 port 48736 ssh2
2026-02-10 21:38:32 Failed password for invalid user admin from 10.0.0.2 port 13855 ssh2
2026-02-10 21:38:34 Failed password for invalid user admin from 45.33.22.11 port 28828 ssh2
2026-02-10 21:38:36 INFO sshd[2865]: Accepted password for test from 45.33.22.11 port 46926 ssh2
2026-02-10 21:38:38 Failed password for invalid user admin from 10.0.0.2 port 39340 ssh2
2026-02-10 21:38:40 Failed password for invalid user root from 192.168.1.5 port 27878 ssh2
2026-02-10 21:38:42 INFO sshd[2704]: Accepted password for test from 203.0.113.5 port 24413 ssh2
2026-02-10 21:38:44 INFO sshd[5465]: Accepted password for user1 from 45.33.22.11 port 61603 ssh2
2026-02-10 21:38:46 INFO sshd[7028]: Accepted password for user1 from 203.0.113.5 port 44297 ssh2
2026-02-10 21:38:48 Failed password for invalid user admin from 10.0.0.2 port 52146 ssh2
2026-02-10 21:38:50 INFO sshd[8206]: Accepted password for root from 192.168.1.5 port 50942 ssh2
2026-02-10 21:38:52 Failed password for invalid user user1 from 203.0.113.5 port 14722 ssh2
2026-02-10 21:38:54 Failed password for invalid user root from 45.33.22.11 port 3008 ssh2
2026-02-10 21:38:56 INFO sshd[1273]: Accepted password for root from 203.0.113.5 port 32350 ssh2
